storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000259N20273,GORDON,2000,20000914,1500,20.13,-87.33,25,
2000259N20273,GORDON,2000,20000914,1800,20.4,-87.4,25,
2000259N20273,GORDON,2000,20000914,2100,20.5725,-87.535,25,
2000259N20273,GORDON,2000,20000915,0000,20.7,-87.7,25,
2000259N20273,GORDON,2000,20000915,0300,20.8424,-87.8202,25,
2000259N20273,GORDON,2000,20000915,0600,21,-88,25,
2000259N20273,GORDON,2000,20000915,0900,21.2077,-88.4395,25,
2000259N20273,GORDON,2000,20000915,1200,21.4,-88.7,25,
2000259N20273,GORDON,2000,20000915,1500,21.4626,-88.3846,27,
2000259N20273,GORDON,2000,20000915,1800,21.6,-87.8,30,
2000259N20273,GORDON,2000,20000915,2100,22.0355,-87.1912,35,
2000259N20273,GORDON,2000,20000916,0000,22.5,-86.7,40,
2000259N20273,GORDON,2000,20000916,0300,22.7221,-86.5892,45,
2000259N20273,GORDON,2000,20000916,0600,22.9,-86.6,50,
2000259N20273,GORDON,2000,20000916,0900,23.17,-86.4724,52,
2000259N20273,GORDON,2000,20000916,1200,23.5,-86.3,55,
2000259N20273,GORDON,2000,20000916,1500,23.8775,-86.1149,57,
2000259N20273,GORDON,2000,20000916,1800,24.3,-85.9,60,
2000259N20273,GORDON,2000,20000916,2100,24.7425,-85.6574,62,
2000259N20273,GORDON,2000,20000917,0000,25.2,-85.4,65,
2000259N20273,GORDON,2000,20000917,0300,25.6424,-85.1572,67,
2000259N20273,GORDON,2000,20000917,0600,26.1,-84.9,70,
2000259N20273,GORDON,2000,20000917,0900,26.6,-84.6,67,
2000259N20273,GORDON,2000,20000917,1200,27.1,-84.3,65,
2000259N20273,GORDON,2000,20000917,1500,27.5574,-84.0348,65,
2000259N20273,GORDON,2000,20000917,1800,28,-83.8,65,
2000259N20273,GORDON,2000,20000917,2100,28.4602,-83.593,62,
2000259N20273,GORDON,2000,20000918,0000,28.9,-83.4,60,
